( 1300203, 1300207);;;
( 1300207, 1300303);;;
( 1300403, 1300407);( 1300403, 2200301);( 1300403, 2200305);
( 1300501, 1300507);;;
( 1300601, 1300605);;;
( 1300701, 1300705);;;
( 1301101, 1301105);;;
( 1301201, 1301205);;;
( 1301301, 1301305);( 1301301, 1301405);;
( 1301305, 1301405);;;
( 1301401, 1301405);;;
( 1301501, 1301505);;;
( 1301603, 1301607);;;
( 1301701, 1301703);( 1301701, 1301707);;
( 1301703, 1301707);;;
( 1301803, 1301807);;;
( 1301903, 1301907);;;
( 1302003, 1302007);;;
( 1302103, 1302107);;;
( 1400101, 1400104);;;
( 1400104, 1400108);;;
( 1400105, 1400108);;;
( 1400201, 1400205);;;
( 1400205, 1400208);;;
( 1400301, 1400305);;;
( 1400404, 1400408);;;
( 1400504, 1400508);( 1400504, 1400608);;
( 1400604, 1400608);;;
( 1400704, 1400708);( 1400704, 1400801);;
( 1400708, 1400801);( 1400708, 1400805);;
( 1400801, 1400805);;;
( 1400901, 1400905);;;
( 1401001, 1401005);;;
( 1401105, 1401108);;;
( 1401204, 1401208);;;
( 1401304, 1401308);;;
( 1401404, 1401408);;;
( 1401504, 1401508);;;
( 1500204, 1500208);;;
( 1500304, 1500308);;;
( 1500404, 1500408);;;
( 1500504, 1500508);;;
( 1500604, 1500608);;;
( 1500702, 1500706);;;
( 1500704, 1500708);;;
( 1500706, 1500708);;;
( 1500801, 1500804);;;
( 1500804, 1500808);;;
( 1500901, 1500905);;;
( 1501005, 1501007);;;
( 1501203, 1501207);;;
( 1501303, 1501307);;;
( 1501404, 1501408);( 1501404, 1501508);;
( 1501504, 1501508);;;
( 1501904, 1501908);;;
( 1502004, 1502008);;;
( 1502104, 1502108);;;
( 1502204, 1502208);;;
( 1600101, 1600105);( 1600101, 1600904);;
( 1600105, 1600201);;;
( 1600201, 1600205);( 1600201, 1700905);;
( 1600301, 1600305);( 1600301, 1600401);;
( 1600305, 1600401);;;
( 1600401, 1600405);;;
( 1600501, 1600505);;;
( 1600601, 1600605);;;
( 1600701, 1600705);;;
( 1600901, 1600905);;;
( 1700201, 1700205);;;
( 1700301, 1700305);;;
( 1700401, 1700405);;;
( 1700503, 1700507);( 1700503, 1700607);;
( 1700603, 1700607);;;
( 1700703, 1700707);;;
( 1700803, 1700805);;;
( 1701001, 1701005);;;
( 1800102, 1800106);;;
( 1800201, 1800205);;;
( 1800302, 1800306);;;
( 1800402, 1800406);;;
( 1800502, 1800506);;;
( 1800602, 1800606);;;
( 1800702, 1800706);;;
( 1800802, 1800806);;;
( 1800806, 2301002);;;
( 1800902, 1800906);;;
( 1900105, 1900601);;;
( 1900403, 1900407);;;
( 1900503, 1900507);;;
( 1900601, 1900605);;;
( 1900701, 1900705);;;
( 1900801, 1900805);;;
( 1900901, 1900903);;;
( 1900903, 1900907);;;
( 1901001, 1901005);;;
( 1901103, 1901107);;;
( 1901107, 1901207);;;
( 1901203, 1901205);( 1901203, 1901207);;
( 1901303, 1901307);;;
( 1901403, 1901407);( 1901403, 1901408);;
( 1901503, 1901507);;;
( 1901703, 1901707);;;
( 1901901, 1901905);;;
( 1902003, 1902007);;;
( 1902101, 1902105);;;
( 1902201, 1902205);;;
( 1902301, 1902305);;;
( 1902401, 1902405);( 1902401, 1902601);;
( 1902405, 1902601);;;
( 1902501, 1902505);;;
( 1902601, 1902605);;;
( 1902903, 1902907);;;
( 1903401, 1903405);( 1903401, 1903501);;
( 1903405, 1903501);;;
( 1903501, 1903505);;;
( 1903607, 1903703);;;
( 2000103, 2000107);( 2000103, 2000117);( 2000103, 2000123);( 2000103, 2000203)
( 2000107, 2000123);;;
( 2000117, 2000123);;;
( 2000201, 2000203);( 2000201, 2000205);;
( 2000203, 2000205);( 2000203, 2000211);;
( 2000205, 2000211);;;
( 2000211, 2000501);;;
( 2000302, 2000308);;;
( 2000304, 2000308);;;
( 2000306, 2000308);( 2000306, 2000402);;
( 2000412, 2000415);;;
( 2000415, 2000513);;;
( 2000501, 2000505);;;
( 2000601, 2000605);;;
( 2000701, 2000705);;;
( 2000705, 2000801);;;
( 2000711, 2000715);;;
( 2000801, 2000805);;;
( 2000803, 2000805);;;
( 2000811, 2000815);;;
( 2000901, 2000905);;;
( 2001001, 2001005);;;
( 2001011, 2001015);;;
( 2100103, 2100107);( 2100103, 2102301);( 2100103, 2102305);
( 2100107, 2102301);( 2100107, 2102305);;
( 2100201, 2100218);;;
( 2100303, 2100307);;;
( 2100401, 2100405);;;
( 2100501, 2100505);;;
( 2100601, 2100605);;;
( 2102301, 2102305);;;
( 2200101, 2200105);;;
( 2200105, 2200203);;;
( 2200301, 2200305);;;
( 2200403, 2200407);;;
( 2300101, 2300103);( 2300101, 2300105);;
( 2300103, 2300105);( 2300103, 2301107);;
( 2300201, 2300205);;;
( 2300301, 2300305);;;
( 2300403, 2300407);;;
( 2300503, 2300505);( 2300503, 2300507);;
( 2300603, 2300607);;;
( 2300703, 2300705);( 2300703, 2300707);;
( 2300705, 2300801);;;
( 2300801, 2300805);;;
( 2300805, 2300901);;;
( 2300901, 2300905);;;
( 2301001, 2301005);;;
( 2301002, 2301005);;;
( 2301103, 2301107);;;
( 2400101, 2400105);;;
( 2400201, 2400205);;;
( 2400301, 2400303);( 2400301, 2400305);;
( 2400401, 2400405);;;
( 2400501, 2400505);( 2400501, 2400508);;
( 2400505, 2400508);;;
( 2400604, 2400608);;;
( 2400802, 2400806);;;
( 2400902, 2400906);;;
( 2401004, 2401106);;;
( 6000103, 6000107);;;
( 6000203, 6000207);;;
( 6000303, 6000307);;;
( 6000403, 6000407);;;
( 6000503, 6000507);;;
( 6000603, 6000607);;;
( 6500103, 6500107);;;
( 6500203, 6500205);( 6500203, 6500207);;
( 6500205, 6500207);;;
( 6600203, 6600207);;;
( 6600304, 6600308);;;
( 6600504, 6600508);;;
( 6600603, 6600607);;;
( 7000101, 7000105);;;
( 7000105, 7000107);;;
( 7000201, 7000205);;;
( 7000301, 7000305);;;
( 7000401, 7000405);;;
( 7100603, 7100701);;;
( 7100803, 7100807);;;
( 7101103, 7101107);;;
( 7101207, 7101503);;;
( 7200101, 7200207);;;
( 7200403, 7200407);;;
( 7200503, 7200507);;;
( 7500101, 7500105);;;
( 7500201, 7500205);;;
( 7500301, 7500305);;;
( 7500402, 7500406);;;
( 8000103, 8000107);;;
( 8000203, 8000207);;;
( 8000403, 8000407);;;
( 8100203, 8100207);;;
( 8100303, 8100307);;;
( 8100403, 8100407);;;
( 8100503, 8100507);;;
( 8100603, 8100607);;;
( 8500104, 8500108);;;
( 8500204, 8500208);;;
( 8500304, 8500308);;;
( 8500404, 8500408);( 8500404, 8500508);;
( 8500504, 8500508);;;
( 8500604, 8500608);;;
( 8500704, 8500708);;;
( 8500804, 8500808);;;
( 8500904, 8500908);;;
( 8600204, 8600208);;;
( 8600304, 8600308);;;
( 8600404, 8600408);;;
( 8600504, 8600508);;;
( 9000201, 9000205);( 9000201, 9000301);( 9000201, 9000305);
( 9000301, 9000305);;;
( 9000401, 9000405);;;
( 9000501, 9000505);;;
( 9000602, 9000605);;;
